Wall time,Step,Value
1699630529.830406,0,0.04072681814432144
1699635178.8616824,1,0.0958646610379219
1699639662.3975496,2,0.18859648704528809
1699644119.6206992,3,0.22807016968727112
1699648596.0204918,4,0.18421052396297455
1699653054.3014252,5,0.20864661037921906
1699657487.3026056,6,0.23308271169662476
1699661986.647512,7,0.21616540849208832
1699666504.7423184,8,0.2374686747789383
1699670875.7940123,9,0.14661654829978943
1699675372.0141263,10,0.2725563943386078
1699679863.8163207,11,0.21679197251796722
1699684301.4016116,12,0.23245614767074585
1699688748.9954531,13,0.2387218028306961
1699693113.1169362,14,0.2857142984867096
1699697605.1145291,15,0.26817041635513306
1699702090.8462055,16,0.24310776591300964
1699706417.326251,17,0.298872172832489
1699710880.4179215,18,0.2838345766067505
1699715346.8517118,19,0.2850877046585083
1699719818.3867652,20,0.31641605496406555
1699724181.464783,21,0.27005013823509216
1699728621.2912958,22,0.2832080125808716
1699733073.1538033,23,0.24498747289180756
1699737428.1974256,24,0.3189223110675812
1699741778.126091,25,0.3214285671710968
1699746235.8359036,26,0.34962406754493713
1699750697.0551143,27,0.29448622465133667
1699755135.3586555,28,0.25814536213874817
1699759553.02656,29,0.3358395993709564
1699763982.9784355,30,0.35213032364845276
1699768451.0187716,31,0.32644110918045044
1699772920.3328025,32,0.33834585547447205
1699777325.5106745,33,0.3308270573616028
1699781742.8334095,34,0.36152881383895874
1699786181.127379,35,0.3189223110675812
1699790641.2587516,36,0.25
1699795072.4863644,37,0.3333333432674408
1699799537.0534694,38,0.32581454515457153
1699803944.456042,39,0.3233082592487335
1699808376.9955497,40,0.3477443754673004
1699812860.3595412,41,0.36278194189071655
1699817349.72384,42,0.3308270573616028
1699821841.01147,43,0.36591479182243347
1699826281.4159298,44,0.3101503849029541
1699830761.0053692,45,0.31453633308410645
1699835240.9068227,46,0.3120300769805908
1699839613.4202466,47,0.36215537786483765
1699844075.5468404,48,0.3452380895614624
1699848423.764895,49,0.33959898352622986
1699852888.8524933,50,0.36152881383895874
1699857256.6748827,51,0.3696741759777069
1699861738.3760858,52,0.3483709394931793
1699866108.02925,53,0.31829574704170227
1699870525.5014815,54,0.36215537786483765
1699874980.2443008,55,0.36090224981307983
1699879422.952148,56,0.3790726959705353
1699883812.660426,57,0.33834585547447205
1699888185.8025796,58,0.3834586441516876
1699892654.0806434,59,0.33897241950035095
1699897081.2469351,60,0.3703007400035858
1699901543.3447015,61,0.35338345170021057
1699906037.062357,62,0.3796992599964142
1699910529.1768064,63,0.3778195381164551
1699915011.2545185,64,0.3796992599964142
1699919474.8653436,65,0.3803258240222931
1699923958.627049,66,0.38784462213516235
1699928297.4323218,67,0.40789473056793213
1699932784.1849244,68,0.4197995066642761
1699937289.0821722,69,0.3934836983680725
1699941793.8813055,70,0.40789473056793213
1699946268.0241802,71,0.371553897857666
1699950762.72716,72,0.40852129459381104
1699955235.2062314,73,0.4060150384902954
1699959700.949874,74,0.3546365797519684
1699964214.909462,75,0.41290727257728577
1699968723.5034382,76,0.3916040062904358
1699973210.89886,77,0.429824560880661
1699977688.132042,78,0.369047611951828
1699982191.9355977,79,0.38909775018692017
1699986570.5624208,80,0.4072681665420532
1699991078.079139,81,0.4028822183609009
1699995563.230505,82,0.38596490025520325
1699999914.8273268,83,0.3803258240222931
1700004387.9718869,84,0.4053884744644165
1700008866.1920946,85,0.38471177220344543
1700013353.709002,86,0.36215537786483765
1700017835.8239825,87,0.3959899842739105
1700022312.514931,88,0.42293232679367065
1700026790.888263,89,0.39912280440330505
1700031266.8661695,90,0.3916040062904358
1700035769.8086424,91,0.4016290605068207
