Wall time,Step,Value
1694609531.5224214,0,11.4844970703125
1694614160.463219,1,9.238492965698242
1694618634.567064,2,9.574764251708984
1694623089.7805963,3,9.244524955749512
1694627565.3784082,4,10.784886360168457
1694632032.808166,5,8.62056827545166
1694636538.53727,6,8.911293029785156
1694640977.9016547,7,8.831832885742188
1694645410.8365357,8,8.279011726379395
1694649862.135206,9,9.544060707092285
1694654294.7688942,10,8.974245071411133
1694658734.7627563,11,8.65027904510498
1694663153.790494,12,8.44230842590332
1694667590.9861093,13,8.388673782348633
1694672012.7270374,14,8.31773853302002
1694676467.1062517,15,9.094964981079102
1694680907.0987167,16,8.703295707702637
1694685373.1030235,17,8.07457160949707
1694689783.662066,18,9.43101978302002
1694694216.7022817,19,8.788678169250488
1694698507.240387,20,9.593460083007812
1694702962.7529228,21,7.750661373138428
1694707412.198401,22,7.545383453369141
1694711875.6741662,23,7.8445305824279785
1694716330.3946314,24,8.864551544189453
1694720761.8187935,25,8.112595558166504
1694725193.8341708,26,8.761316299438477
1694729630.0855854,27,8.304648399353027
1694734117.6805687,28,8.565829277038574
1694738555.6078868,29,8.267674446105957
1694743014.3969016,30,8.621505737304688
1694747327.7471538,31,9.349676132202148
1694751773.7616637,32,8.405166625976562
1694756222.7657037,33,7.4947991371154785
1694760692.310181,34,7.887704372406006
1694765195.4358041,35,8.225397109985352
1694769683.4045146,36,7.994993686676025
1694774219.4151845,37,8.286213874816895
1694778638.5984037,38,8.673650741577148
1694783122.2116714,39,8.03915786743164
1694787596.6081395,40,8.309710502624512
1694792129.814711,41,8.530288696289062
1694796688.6365683,42,8.244391441345215
1694801170.7606838,43,8.4766206741333
1694805663.4842215,44,7.446234226226807
1694810180.663417,45,8.043190002441406
1694814522.7187595,46,8.003850936889648
1694818914.4538066,47,8.566193580627441
1694823432.6745713,48,8.392061233520508
1694827919.0037596,49,7.660168170928955
1694832467.534256,50,8.962618827819824
1694836929.0812902,51,7.755281448364258
1694841426.846453,52,8.062241554260254
1694845916.8007913,53,8.449243545532227
1694850385.4295237,54,8.028596878051758
1694854741.7938764,55,8.98349666595459
1694859173.0330734,56,8.044153213500977
1694863634.6523118,57,8.282174110412598
1694868047.7578442,58,8.435295104980469
1694872483.0613432,59,8.01171875
1694876951.5661957,60,8.128761291503906
1694881371.8407593,61,8.4533052444458
1694885802.551647,62,8.046721458435059
1694890257.324417,63,8.173969268798828
1694894674.2554798,64,8.147350311279297
1694899200.980532,65,8.071223258972168
1694903622.3895097,66,7.887678146362305
1694908106.1168067,67,8.753418922424316
1694912578.3718653,68,8.218766212463379
1694917008.5362494,69,7.977317810058594
1694921434.0713713,70,8.59764575958252
1694925879.522277,71,8.311322212219238
1694930316.8239963,72,8.20028018951416
