Wall time,Step,Value
1689841362.7209768,0,1.1207633018493652
1689845895.7185717,1,0.27176162600517273
1689850199.5920584,2,0.23699404299259186
1689854528.2914586,3,0.21436834335327148
1689858858.7796626,4,0.19970659911632538
1689863134.1872602,5,0.19036899507045746
1689867458.413427,6,0.18300803005695343
1689871813.4925964,7,0.17680081725120544
1689876130.570993,8,0.17195895314216614
1689880495.6854959,9,0.16799823939800262
1689884833.1683059,10,0.16298019886016846
1689889079.9734154,11,0.15992316603660583
1689893433.2895708,12,0.15655645728111267
1689897777.6375213,13,0.15381479263305664
1689902125.8614311,14,0.1504109501838684
1689906471.514648,15,0.1500152349472046
1689910796.8733244,16,0.1471756547689438
1689915180.4147158,17,0.14697696268558502
1689919527.0932448,18,0.1441895216703415
1689923841.66685,19,0.14299876987934113
1689928090.2767582,20,0.13987934589385986
1689932456.1265514,21,0.13914798200130463
1689936785.5662842,22,0.14363110065460205
1689941151.929016,23,0.13893172144889832
1689945483.0293534,24,0.13571196794509888
1689949807.0770543,25,0.13428808748722076
1689954182.4181643,26,0.13420900702476501
1689958473.7059782,27,0.13599316775798798
1689962810.9629855,28,0.13272708654403687
1689967088.614419,29,0.15565775334835052
1689971436.6742232,30,0.1306340992450714
1689975797.5182714,31,0.12930281460285187
1689980156.8819988,32,0.12891513109207153
1689984518.394929,33,0.12815320491790771
1689988873.5609028,34,0.1265362650156021
1689993251.4027433,35,0.1280125230550766
1689997568.9056387,36,0.2788017690181732
1690001840.728426,37,0.1252211332321167
1690006188.239267,38,0.12955740094184875
1690010561.7609327,39,0.13422231376171112
1690014901.9013076,40,0.16832968592643738
1690019301.2251205,41,0.2006741315126419
1690023636.0974464,42,0.15627527236938477
1690028086.0003707,43,0.13105005025863647
1690032606.0120173,44,0.12258138507604599
1690037262.0321512,45,0.12221352756023407
1690042110.5070221,46,0.12194671481847763
1690046855.14316,47,0.1579226553440094
1690051661.25025,48,0.12370524555444717
1690056281.4495108,49,0.12620630860328674
1690061014.6826682,50,0.26294994354248047
1690065777.9597104,51,0.12336269021034241
1690070598.1420186,52,0.12029986828565598
1690075390.3403556,53,0.12145034968852997
1690080158.9613817,54,0.1217602863907814
1690084884.95988,55,0.7273420095443726
1690089636.5497315,56,0.12033503502607346
1690094396.019655,57,0.16195285320281982
1690099100.602637,58,0.5497248768806458
1690103629.546627,59,0.11883550882339478
1690108342.4967518,60,0.15209604799747467
1690113040.011918,61,0.12294391542673111
1690117657.2328749,62,0.12144473940134048
1690122288.2697282,63,0.14667962491512299
1690126985.0687144,64,0.12896227836608887
1690131682.387614,65,0.12451201677322388
1690136388.1634257,66,0.12003394961357117
1690141069.0209942,67,0.13161925971508026
1690145759.9307277,68,0.11620769649744034
1690150463.2484396,69,0.24891720712184906
1690155109.8301055,70,0.12762922048568726
1690159774.239355,71,0.135145366191864
1690164383.4583826,72,0.11870023608207703
1690168910.0310686,73,0.131841242313385
1690173524.8843348,74,0.12034137547016144
1690178126.691942,75,0.11538291722536087
1690182756.7262332,76,0.11616767942905426
1690187350.2353704,77,0.11941926181316376
1690191956.8295534,78,0.11543110013008118
1690196499.738779,79,0.11853820830583572
1690201117.5221424,80,0.11426472663879395
1690205701.0844803,81,0.14716416597366333
1690210339.4850745,82,1.1130480766296387
1690214940.9754713,83,0.1219610646367073
1690219527.8183515,84,0.11523783951997757
1690224109.3578148,85,0.1465926617383957
1690228649.4888,86,0.11978654563426971
1690233199.2747567,87,0.11550074815750122
1690237792.384345,88,0.1278516948223114
1690242399.2176487,89,0.2712741494178772
1690246965.1266832,90,0.11520013213157654
1690251586.6461504,91,0.12472100555896759
1690256033.1820529,92,0.1783187836408615
1690260580.924482,93,0.11786442995071411
1690265129.348901,94,0.16652560234069824
1690269730.3283494,95,0.11459329724311829
1690274411.1325274,96,0.12993812561035156
1690279004.840877,97,0.12094082683324814
1690283606.5933251,98,0.1297319084405899
1690288238.3477054,99,0.1258746236562729
1690292799.5117652,100,0.25602468848228455
1690297312.5738611,101,0.13174515962600708
1690301834.3801382,102,0.11639615148305893
1690306423.4387236,103,0.11513476073741913
1690311048.6325536,104,0.11895161867141724
1690315549.8202236,105,9.292308807373047
1690320176.9857762,106,8.034305572509766
1690324664.9831965,107,3.8557288646698
1690329154.7855577,108,3.8557288646698
1690333654.3232718,109,3.8557288646698
1690338194.571367,110,3.8557288646698
1690342737.5277333,111,3.8557288646698
1690347235.7310822,112,3.8557288646698
1690351715.9931238,113,3.8557288646698
1690356177.4643526,114,3.855745553970337
1690360645.9548244,115,3.8557288646698
1690365168.6338923,116,3.8557491302490234
1690369693.0086365,117,3.855771064758301
1690374141.6443176,118,3.8557753562927246
1690378622.093384,119,3.8565597534179688
1690383092.448144,120,3.8558499813079834
1690387602.5150776,121,3.859187126159668
1690392109.690088,122,3.857679843902588
1690396565.3275075,123,3.8564200401306152
1690400995.8274605,124,3.8565759658813477
1690405514.4254458,125,3.8561861515045166
1690409983.96066,126,3.857077121734619
1690414552.0987597,127,3.8573060035705566
1690418974.0224483,128,3.857543706893921
1690423461.4409182,129,3.8557288646698
1690427931.1655848,130,3.855741500854492
1690432363.182136,131,3.855745553970337
1690436877.446871,132,3.855771541595459
1690441414.8549507,133,3.8557288646698
