Rot 1,Rot 2,Rot 3,Trans X,Trans Y,Trans Z,Score_6D_pose,Score_Yolo,Name,Trans X icp,Trans Y icp,Trans Z icp,Rot 1 icp,Rot 2 icp,Rot 3 icp,RMSE icp,Trans X cam,Trans Y cam,Trans Z cam,N points icp,icp,gripping_result,Alone
0.04837087234,-0.16406481,0.4461652852,0.4045296303,-0.1046054546,0.2569740365,0.9829753041,0.9252929688,horse,0.390699743,-0.1089586089,0.2680541742,-0.0009145520445,-0.06757001668,-0.3500530722,0.005588469533,0.09322110564,0.05644863099,0.3389575481,2054,TRUE,TRUE,TRUE
0.1134855367,0.1502520521,-0.8648936235,0.406954131,-0.1093155187,0.248877493,0.7391512394,0.9262695313,horse,0.3834411545,-0.1133485,0.2677676271,-0.04699663484,-0.09973290876,-0.9155578196,0.006363243999,0.09935934097,0.0631307438,0.3426428437,1190,TRUE,TRUE,TRUE
0.1151476126,0.2035603406,-0.8255085845,0.4306140084,0.0118523834,0.2607253749,0.7225961089,0.9067382813,horse,0.4243797878,0.006984109909,0.263730837,0.01550906803,-0.05521722218,-0.5876070128,0.006411102944,0.008855479769,0.06129884347,0.361405611,1114,TRUE,TRUE,TRUE
0.05383395934,0.09751388644,-0.9635078508,0.4428649827,-0.04526807596,0.2519822956,0.8412728906,0.9248046875,horse,0.4287981099,-0.05024955674,0.2646162043,-0.04052171271,-0.01780495212,-0.9958661936,0.006286127021,0.06487500668,0.02729248814,0.3968872428,1185,TRUE,TRUE,TRUE
0.1073839448,0.1036665061,-0.9887943438,0.4966113472,-0.1007904645,0.2678569317,0.7345234156,0.9111328125,horse,0.4958712588,-0.09913138499,0.2664018072,-0.005564991978,-0.01039118004,-0.9008117286,0.005156762721,0.1376250833,0.04945620894,0.3955622017,1325,TRUE,TRUE,TRUE
0.1447856688,0.1094747077,-0.9799251207,0.4937188853,-0.004885379253,0.271008434,0.7126174569,0.9086914063,horse,0.5071288563,0.00551538805,0.2616649678,0.005490911221,-0.01692983272,-0.9496937474,0.006481404211,0.05682872981,-0.02370525897,0.4405741394,764,TRUE,TRUE,TRUE
0.0816434182,-0.170610075,-0.9626383853,0.4302613332,0.1122444048,0.2776045422,0.8329518437,0.9213867188,horse,0.4245503256,0.1190729137,0.2847665685,0.01588897527,-0.06344887829,-0.9797686375,0.006344097044,0.04936637357,0.06946153939,0.3347534537,1274,TRUE,TRUE,TRUE
0.05856494923,0.175373639,-0.6785204635,0.4254672726,-0.08349546211,0.2561233372,0.9605981708,0.9252929688,horse,0.4117959278,-0.08374259331,0.2680461147,-0.03236739412,-0.08814704113,-0.4028704448,0.005725416206,0.08573822677,0.09106452763,0.3629302084,1505,TRUE,TRUE,TRUE
-0.01842143281,0.03631987589,0.5315974256,0.4088075,0.1590796688,0.2346494157,0.8811974525,0.9047851563,horse,0.3938504144,0.1301565383,0.261215024,-0.001696623422,-0.07594651461,-0.3834130454,0.006618018809,-0.1727578491,0.05772115663,0.4349408746,998,TRUE,TRUE,TRUE
0.08271273417,0.01098306272,-0.9455426285,0.496864832,-0.09983308028,0.2722216098,0.8193828464,0.9189453125,horse,0.5101193913,-0.09670247515,0.2618375454,-0.02353492339,-0.07885074279,-0.9952514692,0.007729689296,0.1376021504,-0.004240181763,0.3947722316,740,TRUE,TRUE,TRUE
0.04242707932,-0.1646743709,0.4182244618,0.5416390055,0.003352863171,0.258140444,0.7352636456,0.90625,horse,0.5313783261,0.003236584706,0.2620256435,0.03223199664,0.01234068798,0.2593620345,0.006779041727,0.07759297639,-0.03959630057,0.4837609828,537,TRUE,FALSE,TRUE
0.08330433192,0.03049118897,-0.9728848249,0.4576319556,0.07671708069,0.2661672883,0.8481612802,0.8974609375,horse,0.4601694318,0.08263120735,0.2643141233,-0.08546528914,-0.09254892394,-0.9917018739,0.006144873928,-0.03110675514,0.02941684797,0.4587585032,717,TRUE,FALSE,TRUE
0.07099715662,-0.1413519423,0.2859138082,0.4530991137,-0.07607603267,0.2555894882,0.8579362631,0.9125976563,horse,0.4398853173,-0.07652776514,0.263841389,0.02105265088,0.05657430382,0.2460180785,0.005834545169,0.09614048153,0.02609546296,0.3863446116,1365,TRUE,TRUE,TRUE
0.0403881839,-0.1171388833,0.3805014989,0.4179973225,0.08515034184,0.2553230744,0.966932416,0.9140625,horse,0.4107679655,0.08170168193,0.265151844,-0.02147279818,-0.09629872797,-0.3570321695,0.006235906689,-0.05880431458,0.0554533489,0.392744422,1208,TRUE,TRUE,TRUE
0.1211675612,-0.04043693046,-0.4832542946,0.5151654424,-0.09640080454,0.2548039092,0.7565768957,0.9077148438,horse,0.5027646875,-0.09609048791,0.2670245214,0.01726797313,-0.01632218589,-0.2421052082,0.005822815896,0.1459703445,0.04829457775,0.3670178652,1218,TRUE,TRUE,TRUE
